City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Pevek,RU,2021-11-28 01:11:54,69.7008,170.3133,-12.59,83,5,4.25,clear sky
171,Beyneu,KZ,2021-11-28 01:11:55,45.3167,55.2,30.76,53,66,11.43,broken clouds
172,Great Bend,US,2021-11-28 01:11:55,38.3645,-98.7648,50.05,39,1,8.05,clear sky
173,Coolum Beach,AU,2021-11-28 01:11:55,-26.5333,153.1,75.07,80,80,15.08,broken clouds
174,Urengoy,RU,2021-11-28 01:11:56,65.9667,78.3667,6.33,96,100,4.92,overcast clouds
175,Broken Hill,AU,2021-11-28 01:11:56,-31.95,141.4333,71.26,42,60,17.22,broken clouds
176,Isangel,VU,2021-11-28 01:11:56,-19.55,169.2667,86.11,70,75,11.5,broken clouds
177,Hornepayne,CA,2021-11-28 01:11:57,49.2138,-84.7705,20.8,90,100,4.94,overcast clouds
178,Sibolga,ID,2021-11-28 01:11:57,1.7427,98.7792,76.77,85,100,1.81,overcast clouds
179,Lata,PT,2021-11-28 01:08:15,40.1629,-8.3327,41.0,76,23,3.83,few clouds
180,Fortuna,US,2021-11-28 01:10:39,40.5982,-124.1573,58.12,100,1,0.0,clear sky
181,Dudinka,RU,2021-11-28 01:11:58,69.4058,86.1778,-1.7,95,100,9.71,overcast clouds
182,Ancud,CL,2021-11-28 01:08:01,-41.8697,-73.8203,53.13,73,12,9.4,few clouds
183,Salonta,RO,2021-11-28 01:11:59,46.8,21.65,45.09,90,100,4.99,overcast clouds
184,Lakhimpur,IN,2021-11-28 01:12:59,27.95,80.7667,58.44,74,0,3.76,clear sky
185,Mar Del Plata,AR,2021-11-28 01:10:22,-38.0023,-57.5575,61.74,93,100,17.67,overcast clouds
186,Newport,GB,2021-11-28 01:09:08,51.5877,-2.9984,35.71,65,60,17.22,broken clouds
187,Noyabrsk,RU,2021-11-28 01:13:00,63.1994,75.4507,16.56,94,100,9.57,overcast clouds
188,Gohad,IN,2021-11-28 01:13:00,26.4261,78.4447,60.75,55,0,4.81,clear sky
189,Cidreira,BR,2021-11-28 01:13:01,-30.1811,-50.2056,69.48,94,100,7.94,overcast clouds
190,Victoria,HK,2021-11-28 01:13:01,22.2855,114.1577,69.85,51,72,7.2,broken clouds
191,Hurghada,EG,2021-11-28 01:13:02,27.2574,33.8129,70.09,41,86,9.51,overcast clouds
192,Bonavista,CA,2021-11-28 01:13:02,48.6499,-53.1147,46.4,96,100,13.11,overcast clouds
193,Porvoo,FI,2021-11-28 01:13:02,60.3923,25.6651,19.9,71,100,12.35,overcast clouds
194,Belovo,RU,2021-11-28 01:13:03,54.4165,86.2976,21.27,87,100,19.28,light snow
195,Lebu,CL,2021-11-28 01:13:03,-37.6167,-73.65,52.57,78,0,17.31,clear sky
196,Narsaq,GL,2021-11-28 01:13:04,60.9167,-46.05,39.42,100,100,1.77,moderate rain
197,Alugan,PH,2021-11-28 01:13:04,12.2188,125.4808,82.31,84,100,13.04,overcast clouds
198,Chuy,UY,2021-11-28 01:13:05,-33.6971,-53.4616,67.03,86,100,8.81,overcast clouds
199,Pavlovsk,RU,2021-11-28 01:13:05,50.4578,40.1081,39.96,95,100,8.43,overcast clouds
200,Llaillay,CL,2021-11-28 01:13:05,-32.85,-70.9667,65.52,61,0,3.85,clear sky
201,Ixtapa,MX,2021-11-28 01:13:06,20.7,-105.2,79.83,74,90,5.75,overcast clouds
202,Hamilton,US,2021-11-28 01:10:48,39.1834,-84.5333,45.79,68,90,0.0,overcast clouds
